,r,señal,FFF,Limit,In,Z,Big Z,xpos,xneg,ypos,yneg,Rho,delta0 = 0.001 h0 = 228.57142857142858 h1 = -2714.2857142857138 h2 = 37142.857142857145 h3 = -900000.0 h4 = 800000.0
67,50.0,0.086998,0,25,0,100,0.05420850000000001,9.468365553602812,9.468365553602812,-27.83101045296167,-27.83101045296167,0.5,1770.8522906946769
68,53.0,0.08030599999999999,0,25,0,100,0.05420850000000001,9.468365553602812,9.468365553602812,-30.057491289198605,-30.057491289198605,0.53,2109.15483081133
69,56.0,0.07357899999999999,0,25,0,100,0.05420850000000001,9.468365553602812,9.468365553602812,-32.28397212543554,-32.28397212543554,0.56,2488.007769630994
70,59.0,0.067845,0,25,0,100,0.05420850000000001,9.468365553602812,9.468365553602812,-34.51045296167247,-34.51045296167247,0.59,2909.7064127411927
71,62.0,0.063037,0,25,0,100,0.05420850000000001,9.468365553602812,9.468365553602812,-36.73693379790941,-36.73693379790941,0.62,3376.5460657293424
72,65.0,0.060057000000000006,0,25,0,100,0.05420850000000001,9.468365553602812,9.468365553602812,-38.96341463414634,-38.96341463414634,0.65,3890.8220341827705
73,68.0,0.056351,0,25,0,100,0.05420850000000001,9.468365553602812,9.468365553602812,-41.18989547038328,-41.18989547038328,0.68,4454.829623688759
74,70.0,0.055396,0,25,0,100,0.05420850000000001,9.468365553602812,9.468365553602812,-42.674216027874564,-42.674216027874564,0.7,4859.5968459625665
75,-95.0,0.010471,0,50,0,100,0.05420850000000001,18.936731107205624,18.936731107205624,50.94017094017094,-29.715099715099715,0.95,-2.2690047824925107e-06
76,-93.0,0.010999,0,50,0,100,0.05420850000000001,18.936731107205624,18.936731107205624,50.09116809116809,-28.866096866096868,0.93,-2.2837520393977635e-06
77,-90.0,0.011954000000000001,0,50,0,100,0.05420850000000001,18.936731107205624,18.936731107205624,48.81766381766382,-27.59259259259259,0.9,-2.3080520340593294e-06
78,-87.0,0.013004,0,50,0,100,0.05420850000000001,18.936731107205624,18.936731107205624,47.54415954415954,-26.31908831908832,0.87,-2.335364271758039e-06
79,-84.0,0.014263999999999999,0,50,0,100,0.05420850000000001,18.936731107205624,18.936731107205624,46.27065527065527,-25.045584045584047,0.84,-2.366225042984823e-06
80,-81.0,0.015913,0,50,0,100,0.05420850000000001,18.936731107205624,18.936731107205624,44.997150997150996,-23.77207977207977,0.81,-2.4013032668975474e-06
81,-78.0,0.017644999999999997,0,50,0,100,0.05420850000000001,18.936731107205624,18.936731107205624,43.72364672364672,-22.498575498575498,0.78,-2.441436207105149e-06
82,-75.0,0.019955,0,50,0,100,0.05420850000000001,18.936731107205624,18.936731107205624,42.45014245014245,-21.225071225071225,0.75,-2.4876913783287765e-06
83,-72.0,0.022422,0,50,0,100,0.05420850000000001,18.936731107205624,18.936731107205624,41.17663817663818,-19.951566951566953,0.72,-2.541442129841562e-06
84,-69.0,0.02543,0,50,0,100,0.05420850000000001,18.936731107205624,18.936731107205624,39.903133903133906,-18.678062678062677,0.69,-2.6044876484027856e-06
85,-66.0,0.028464999999999997,0,50,0,100,0.05420850000000001,18.936731107205624,18.936731107205624,38.629629629629626,-17.404558404558404,0.66,-2.67922580319036e-06
86,-63.0,0.031827,0,50,0,100,0.05420850000000001,18.936731107205624,18.936731107205624,37.356125356125354,-16.13105413105413,0.63,-2.768919141912345e-06
87,-60.0,0.038564999999999995,0,50,0,100,0.05420850000000001,18.936731107205624,18.936731107205624,36.08262108262108,-14.857549857549857,0.6,-2.8781105092758197e-06
88,-59.0,0.049589,0,50,0,100,0.05420850000000001,18.936731107205624,18.936731107205624,35.65811965811966,-14.433048433048434,0.59,-2.919889929525086e-06
89,-58.0,0.08064299999999999,0,50,0,100,0.05420850000000001,18.936731107205624,18.936731107205624,35.23361823361823,-14.008547008547009,0.58,-2.96483857280624e-06
90,-57.0,0.15174,0,50,0,100,0.05420850000000001,18.936731107205624,18.936731107205624,34.80911680911681,-13.584045584045585,0.57,-3.0133046556858545e-06
