,r,señal,FFF,Limit,Area,In,Z,Zs,Big Z,Big Z Col,xpos,xneg,ypos,yneg,Rho,Analytic function,Limited
562,-159.0,0.009090993103448276,0.0,100.0,10000.0,1,100,0.0,0.05420850000000001,0.05420850000000001,158.31107205623903,-87.73727087576374,21.225071225071225,21.225071225071225,1.59,0.00016037122101844614,0
563,-158.0,0.009203227586206897,0.0,100.0,10000.0,1,100,0.0,0.05420850000000001,0.05420850000000001,157.55360281195078,-86.85947046843177,21.225071225071225,21.225071225071225,1.58,0.00016433997160902205,0
564,-157.0,0.009315462068965517,0.0,100.0,10000.0,1,100,0.0,0.05420850000000001,0.05420850000000001,156.79613356766257,-85.98167006109979,21.225071225071225,21.225071225071225,1.57,0.0001684427845788512,0
565,-156.0,0.009427696551724138,0.0,100.0,10000.0,1,100,0.0,0.05420850000000001,0.05420850000000001,156.03866432337435,-85.10386965376782,21.225071225071225,21.225071225071225,1.56,0.00017268535179919896,0
566,-155.0,0.009539931034482758,0.0,100.0,10000.0,1,100,0.0,0.05420850000000001,0.05420850000000001,155.2811950790861,-84.22606924643584,21.225071225071225,21.225071225071225,1.55,0.00017707366737839054,0
567,-154.0,0.009652165517241379,0.0,100.0,10000.0,1,100,0.0,0.05420850000000001,0.05420850000000001,154.5237258347979,-83.34826883910387,21.225071225071225,21.225071225071225,1.54,0.00018161404696059863,0
568,-153.0,0.0097644,0.0,100.0,10000.0,1,100,0.0,0.05420850000000001,0.05420850000000001,153.76625659050967,-82.47046843177189,21.225071225071225,21.225071225071225,1.53,0.00018631314847205755,0
569,-152.0,0.00987663448275862,0.0,100.0,10000.0,1,100,0.0,0.05420850000000001,0.05420850000000001,153.00878734622145,-81.59266802443992,21.225071225071225,21.225071225071225,1.52,0.00019117799443872912,0
570,-151.0,0.00998886896551724,0.0,100.0,10000.0,1,100,0.0,0.05420850000000001,0.05420850000000001,152.2513181019332,-80.71486761710794,21.225071225071225,21.225071225071225,1.51,0.0001962159960147778,0
571,-150.0,0.010101103448275861,0.0,100.0,10000.0,1,100,0.0,0.05420850000000001,0.05420850000000001,151.493848857645,-79.83706720977597,21.225071225071225,21.225071225071225,1.5,0.00020143497886994152,0
572,-149.0,0.010213337931034483,0.0,100.0,10000.0,1,100,0.0,0.05420850000000001,0.05420850000000001,150.73637961335677,-78.95926680244399,21.225071225071225,21.225071225071225,1.49,0.00020684321110457312,0
573,-148.0,0.010325572413793104,0.0,100.0,10000.0,1,100,0.0,0.05420850000000001,0.05420850000000001,149.97891036906853,-78.08146639511202,21.225071225071225,21.225071225071225,1.48,0.0002124494333742711,0
574,-147.0,0.010437806896551724,0.0,100.0,10000.0,1,100,0.0,0.05420850000000001,0.05420850000000001,149.2214411247803,-77.20366598778004,21.225071225071225,21.225071225071225,1.47,0.00021826289142655344,0
575,-146.0,0.010550041379310345,0.0,100.0,10000.0,1,100,0.0,0.05420850000000001,0.05420850000000001,148.4639718804921,-76.32586558044807,21.225071225071225,21.225071225071225,1.46,0.00022429337127003558,0
576,-145.0,0.010662275862068965,0.0,100.0,10000.0,1,100,0.0,0.05420850000000001,0.05420850000000001,147.70650263620388,-75.44806517311609,21.225071225071225,21.225071225071225,1.45,0.00023055123722697803,0
577,-144.0,0.010774510344827586,0.0,100.0,10000.0,1,100,0.0,0.05420850000000001,0.05420850000000001,146.94903339191563,-74.57026476578412,21.225071225071225,21.225071225071225,1.44,0.0002370474731363504,0
578,-143.0,0.010886744827586206,0.0,100.0,10000.0,1,100,0.0,0.05420850000000001,0.05420850000000001,146.19156414762742,-73.69246435845214,21.225071225071225,21.225071225071225,1.43,0.00024379372701266024,0
579,-142.0,0.010998979310344827,0.0,100.0,10000.0,1,100,0.0,0.05420850000000001,0.05420850000000001,145.4340949033392,-72.81466395112017,21.225071225071225,21.225071225071225,1.42,0.00025080235949457663,0
580,-141.0,0.011111213793103447,0.0,100.0,10000.0,1,100,0.0,0.05420850000000001,0.05420850000000001,144.67662565905096,-71.93686354378819,21.225071225071225,21.225071225071225,1.41,0.0002580864964520267,0
581,-140.0,0.011223448275862068,0.0,100.0,10000.0,1,100,0.0,0.05420850000000001,0.05420850000000001,143.91915641476274,-71.05906313645622,21.225071225071225,21.225071225071225,1.4,0.000265660086168843,0
582,-139.0,0.011335682758620689,0.0,100.0,10000.0,1,100,0.0,0.05420850000000001,0.05420850000000001,143.16168717047452,-70.18126272912424,21.225071225071225,21.225071225071225,1.39,0.000273537961556745,0
583,-138.0,0.01144791724137931,0.0,100.0,10000.0,1,100,0.0,0.05420850000000001,0.05420850000000001,142.4042179261863,-69.30346232179227,21.225071225071225,21.225071225071225,1.38,0.0002817359079138915,0
584,-137.0,0.011560151724137931,0.0,100.0,10000.0,1,100,0.0,0.05420850000000001,0.05420850000000001,141.64674868189806,-68.42566191446029,21.225071225071225,21.225071225071225,1.37,0.0002902707368007338,0
585,-136.0,0.011672386206896552,0.0,100.0,10000.0,1,100,0.0,0.05420850000000001,0.05420850000000001,140.88927943760984,-67.5478615071283,21.225071225071225,21.225071225071225,1.36,0.0002991603666683114,0
586,-135.0,0.011784620689655172,0.0,100.0,10000.0,1,100,0.0,0.05420850000000001,0.05420850000000001,140.13181019332163,-66.67006109979633,21.225071225071225,21.225071225071225,1.35,0.0003084239109555338,0
587,-134.0,0.011896855172413793,0.0,100.0,10000.0,1,100,0.0,0.05420850000000001,0.05420850000000001,139.37434094903338,-65.79226069246435,21.225071225071225,21.225071225071225,1.34,0.00031808177445590924,0
588,-133.0,0.012009089655172413,0.0,100.0,10000.0,1,100,0.0,0.05420850000000001,0.05420850000000001,138.61687170474517,-64.91446028513238,21.225071225071225,21.225071225071225,1.33,0.0003281557588483484,0
589,-132.0,0.012121324137931034,0.0,100.0,10000.0,1,100,0.0,0.05420850000000001,0.05420850000000001,137.85940246045695,-64.0366598778004,21.225071225071225,21.225071225071225,1.32,0.00033866917840566664,0
590,-131.0,0.012233558620689654,0.0,100.0,10000.0,1,100,0.0,0.05420850000000001,0.05420850000000001,137.1019332161687,-63.15885947046843,21.225071225071225,21.225071225071225,1.31,0.00034964698701214216,0
591,-130.0,0.012345793103448275,0.0,100.0,10000.0,1,100,0.0,0.05420850000000001,0.05420850000000001,136.3444639718805,-62.28105906313645,21.225071225071225,21.225071225071225,1.3,0.00036111591777304264,0
592,-129.0,0.012458027586206896,0.0,100.0,10000.0,1,100,0.0,0.05420850000000001,0.05420850000000001,135.58699472759227,-61.40325865580448,21.225071225071225,21.225071225071225,1.29,0.00037310463665950194,0
593,-128.0,0.012570262068965516,0.0,100.0,10000.0,1,100,0.0,0.05420850000000001,0.05420850000000001,134.82952548330405,-60.5254582484725,21.225071225071225,21.225071225071225,1.28,0.0003856439118244783,0
594,-127.0,0.012682496551724138,0.0,100.0,10000.0,1,100,0.0,0.05420850000000001,0.05420850000000001,134.0720562390158,-59.64765784114053,21.225071225071225,21.225071225071225,1.27,0.00039876680044099923,0
595,-126.0,0.012794731034482759,0.0,100.0,10000.0,1,100,0.0,0.05420850000000001,0.05420850000000001,133.3145869947276,-58.76985743380855,21.225071225071225,21.225071225071225,1.26,0.0004125088551633451,0
596,-125.0,0.01290696551724138,0.0,100.0,10000.0,1,100,0.0,0.05420850000000001,0.05420850000000001,132.55711775043937,-57.89205702647658,21.225071225071225,21.225071225071225,1.25,0.0004269083526016627,0
597,-124.0,0.0130192,0.0,100.0,10000.0,1,100,0.0,0.05420850000000001,0.05420850000000001,131.79964850615113,-57.014256619144604,21.225071225071225,21.225071225071225,1.24,0.0004420065465282182,0
598,-123.0,0.01313143448275862,0.0,100.0,10000.0,1,100,0.0,0.05420850000000001,0.05420850000000001,131.0421792618629,-56.13645621181263,21.225071225071225,21.225071225071225,1.23,0.0004578479489245271,0
599,-122.0,0.013243668965517241,0.0,100.0,10000.0,1,100,0.0,0.05420850000000001,0.05420850000000001,130.2847100175747,-55.258655804480654,21.225071225071225,21.225071225071225,1.22,0.0004744806424129094,0
600,-121.0,0.013355903448275861,0.0,100.0,10000.0,1,100,0.0,0.05420850000000001,0.05420850000000001,129.52724077328648,-54.38085539714868,21.225071225071225,21.225071225071225,1.21,0.0004919566281485103,0
601,-120.0,0.013468137931034482,0.0,100.0,10000.0,1,100,0.0,0.05420850000000001,0.05420850000000001,128.76977152899823,-53.503054989816704,21.225071225071225,21.225071225071225,1.2,0.0005103322138325954,0
