,r,señal,FFF,Limit,In,Z,Big Z,xpos,xneg,ypos,yneg,Rho,delta0 = 4.0 h0 = 300.0 h1 = -2000.0 h2 = 80000.0 h3 = -450000.0 h4 = 200000.0
348,-121.0,0.78087,0,200,0,100,0.05420850000000001,75.7469244288225,75.7469244288225,93.81481481481481,-8.914529914529915,1.21,-2856.168879465488
349,-118.0,0.78068,0,200,0,100,0.05420850000000001,75.7469244288225,75.7469244288225,92.54131054131054,-7.641025641025641,1.18,-3454.968077082559
350,-115.0,0.78008,0,200,0,100,0.05420850000000001,75.7469244288225,75.7469244288225,91.26780626780626,-6.367521367521367,1.15,-4304.625381329801
351,-112.0,0.7792,0,200,0,100,0.05420850000000001,75.7469244288225,75.7469244288225,89.99430199430199,-5.094017094017094,1.12,-5550.078662333911
352,-109.0,0.78027,0,200,0,100,0.05420850000000001,75.7469244288225,75.7469244288225,88.72079772079772,-3.8205128205128207,1.09,-7421.61698998028
353,-106.0,0.7789,0,200,0,100,0.05420850000000001,75.7469244288225,75.7469244288225,87.44729344729345,-2.547008547008547,1.06,-10225.306983825296
354,-103.0,0.77841,0,200,0,100,0.05420850000000001,75.7469244288225,75.7469244288225,86.17378917378917,-1.2735042735042734,1.03,-14128.705766122872
355,-100.0,0.77761,0,200,0,100,0.05420850000000001,75.7469244288225,75.7469244288225,84.9002849002849,0.0,1.0,-18568.592117259126
356,-97.0,0.77742,0,200,0,100,0.05420850000000001,75.7469244288225,75.7469244288225,83.62678062678063,1.2735042735042734,0.97,-22093.424122219363
357,-94.0,0.77682,0,200,0,100,0.05420850000000001,75.7469244288225,75.7469244288225,82.35327635327636,2.547008547008547,0.94,-23714.570621883628
358,-91.0,0.77644,0,200,0,100,0.05420850000000001,75.7469244288225,75.7469244288225,81.07977207977208,3.8205128205128207,0.91,-23666.674835906837
359,-88.0,0.77663,0,200,0,100,0.05420850000000001,75.7469244288225,75.7469244288225,79.80626780626781,5.094017094017094,0.88,-22615.47857332594
360,-85.0,0.77545,0,200,0,100,0.05420850000000001,75.7469244288225,75.7469244288225,78.53276353276354,6.367521367521367,0.85,-21068.174893644158
361,-82.0,0.77575,0,200,0,100,0.05420850000000001,75.7469244288225,75.7469244288225,77.25925925925925,7.641025641025641,0.82,-19316.19208246391
362,-79.0,0.77507,0,200,0,100,0.05420850000000001,75.7469244288225,75.7469244288225,75.98575498575498,8.914529914529915,0.79,-17514.40204351382
363,-76.0,0.77465,0,200,0,100,0.05420850000000001,75.7469244288225,75.7469244288225,74.71225071225071,10.188034188034187,0.76,-15744.165945063449
364,-73.0,0.77318,0,200,0,100,0.05420850000000001,75.7469244288225,75.7469244288225,73.43874643874643,11.461538461538462,0.73,-14048.34146462303
365,-70.0,0.77367,0,200,0,100,0.05420850000000001,75.7469244288225,75.7469244288225,72.16524216524216,12.735042735042734,0.7,-12449.266176109631
366,-67.0,0.77337,0,200,0,100,0.05420850000000001,75.7469244288225,75.7469244288225,70.89173789173789,14.008547008547009,0.67,-10957.983858974412
367,-64.0,0.77219,0,200,0,100,0.05420850000000001,75.7469244288225,75.7469244288225,69.61823361823362,15.282051282051283,0.64,-9579.096241821813
368,-61.0,0.7723,0,200,0,100,0.05420850000000001,75.7469244288225,75.7469244288225,68.34472934472934,16.555555555555557,0.61,-8313.399955148254
369,-58.0,0.77082,0,200,0,100,0.05420850000000001,75.7469244288225,75.7469244288225,67.07122507122507,17.82905982905983,0.58,-7159.369994165219
370,-55.0,0.7712,0,200,0,100,0.05420850000000001,75.7469244288225,75.7469244288225,65.7977207977208,19.102564102564102,0.55,-6114.022422855179
371,-52.0,0.77029,0,200,0,100,0.05420850000000001,75.7469244288225,75.7469244288225,64.52421652421653,20.376068376068375,0.52,-5173.431804821621
372,-49.0,0.76764,0,200,0,100,0.05420850000000001,75.7469244288225,75.7469244288225,63.25071225071225,21.64957264957265,0.49,-4333.050445500519
373,-46.0,0.76597,0,200,0,100,0.05420850000000001,75.7469244288225,75.7469244288225,61.977207977207975,22.923076923076923,0.46,-3587.910487818027
374,-43.0,0.76487,0,200,0,100,0.05420850000000001,75.7469244288225,75.7469244288225,60.7037037037037,24.196581196581196,0.43,-2932.7548699732706
375,-40.0,0.7627,0,200,0,100,0.05420850000000001,75.7469244288225,75.7469244288225,59.43019943019943,25.47008547008547,0.4,-2362.1240039699446
376,-37.0,0.76059,0,200,0,100,0.05420850000000001,75.7469244288225,75.7469244288225,58.15669515669516,26.743589743589745,0.37,-1870.4142640924197
377,-34.0,0.75986,0,200,0,100,0.05420850000000001,75.7469244288225,75.7469244288225,56.883190883190885,28.017094017094017,0.34,-1451.9181552486898
378,-31.0,0.75956,0,200,0,100,0.05420850000000001,75.7469244288225,75.7469244288225,55.60968660968661,29.29059829059829,0.31,-1100.8523499778983
379,-28.0,0.7593,0,200,0,100,0.05420850000000001,75.7469244288225,75.7469244288225,54.33618233618234,30.564102564102566,0.28,-811.3775539256519
380,-25.0,0.7585,0,200,0,100,0.05420850000000001,75.7469244288225,75.7469244288225,53.06267806267806,31.837606837606838,0.25,-577.612781238121
381,-22.0,0.75808,0,200,0,100,0.05420850000000001,75.7469244288225,75.7469244288225,51.78917378917379,33.111111111111114,0.22,-393.6457523462886
382,-19.0,0.75709,0,200,0,100,0.05420850000000001,75.7469244288225,75.7469244288225,50.515669515669515,34.38461538461539,0.19,-253.54056896477798
383,-16.0,0.75573,0,200,0,100,0.05420850000000001,75.7469244288225,75.7469244288225,49.24216524216524,35.65811965811966,0.16,-151.3434574607075
384,-13.0,0.75542,0,200,0,100,0.05420850000000001,75.7469244288225,75.7469244288225,47.96866096866097,36.93162393162393,0.13,-81.08713115402101
385,-10.0,0.75364,0,200,0,100,0.05420850000000001,75.7469244288225,75.7469244288225,46.6951566951567,38.205128205128204,0.1,-36.79416098713141
386,-7.0,0.75247,0,200,0,100,0.05420850000000001,75.7469244288225,75.7469244288225,45.421652421652425,39.47863247863248,0.07,-12.479635103065029
387,-4.0,0.75296,0,200,0,100,0.05420850000000001,75.7469244288225,75.7469244288225,44.148148148148145,40.75213675213675,0.04,-2.153313944773584
388,-1.0,0.75209,0,200,0,100,0.05420850000000001,75.7469244288225,75.7469244288225,42.87464387464387,42.02564102564103,0.01,0.17856249456429302
389,0.0,0.75271,0,200,0,100,0.05420850000000001,75.7469244288225,75.7469244288225,42.45014245014245,42.45014245014245,0.0,0.21557736116409276
390,1.0,0.75364,0,200,0,100,0.05420850000000001,75.7469244288225,75.7469244288225,42.02564102564103,42.87464387464387,0.01,0.17856249456429302
391,4.0,0.7532,0,200,0,100,0.05420850000000001,75.7469244288225,75.7469244288225,40.75213675213675,44.148148148148145,0.04,-2.153313944773584
392,7.0,0.75536,0,200,0,100,0.05420850000000001,75.7469244288225,75.7469244288225,39.47863247863248,45.421652421652425,0.07,-12.479635103065029
393,10.0,0.75536,0,200,0,100,0.05420850000000001,75.7469244288225,75.7469244288225,38.205128205128204,46.6951566951567,0.1,-36.79416098713141
394,13.0,0.75728,0,200,0,100,0.05420850000000001,75.7469244288225,75.7469244288225,36.93162393162393,47.96866096866097,0.13,-81.08713115402101
395,16.0,0.75937,0,200,0,100,0.05420850000000001,75.7469244288225,75.7469244288225,35.65811965811966,49.24216524216524,0.16,-151.3434574607075
396,19.0,0.7585,0,200,0,100,0.05420850000000001,75.7469244288225,75.7469244288225,34.38461538461539,50.515669515669515,0.19,-253.54056896477798
397,22.0,0.75942,0,200,0,100,0.05420850000000001,75.7469244288225,75.7469244288225,33.111111111111114,51.78917378917379,0.22,-393.6457523462886
398,25.0,0.76017,0,200,0,100,0.05420850000000001,75.7469244288225,75.7469244288225,31.837606837606838,53.06267806267806,0.25,-577.612781238121
399,28.0,0.75998,0,200,0,100,0.05420850000000001,75.7469244288225,75.7469244288225,30.564102564102566,53.43554006968641,0.28,-811.3402847461292
400,31.0,0.76214,0,200,0,100,0.05420850000000001,75.7469244288225,75.7469244288225,29.29059829059829,51.20905923344948,0.31,-1100.5977499192063
401,34.0,0.76362,0,200,0,100,0.05420850000000001,75.7469244288225,75.7469244288225,28.017094017094017,48.98257839721254,0.34,-1451.2939622621986
402,37.0,0.76658,0,200,0,100,0.05420850000000001,75.7469244288225,75.7469244288225,26.743589743589745,46.75609756097561,0.37,-1869.206795715952
403,40.0,0.76707,0,200,0,100,0.05420850000000001,75.7469244288225,75.7469244288225,25.47008547008547,44.52961672473867,0.4,-2360.038745951847
404,43.0,0.76836,0,200,0,100,0.05420850000000001,75.7469244288225,75.7469244288225,24.196581196581196,42.30313588850174,0.43,-2929.3902381323724
405,46.0,0.76984,0,200,0,100,0.05420850000000001,75.7469244288225,75.7469244288225,22.923076923076923,40.07665505226481,0.46,-3582.7218307918324
406,49.0,0.77101,0,200,0,100,0.05420850000000001,75.7469244288225,75.7469244288225,21.64957264957265,37.850174216027874,0.49,-4325.299893022697
407,52.0,0.772,0,200,0,100,0.05420850000000001,75.7469244288225,75.7469244288225,20.376068376068375,35.62369337979094,0.52,-5162.117239460416
408,55.0,0.7723,0,200,0,100,0.05420850000000001,75.7469244288225,75.7469244288225,19.102564102564102,33.397212543554005,0.55,-6097.7750673628625
409,58.0,0.77279,0,200,0,100,0.05420850000000001,75.7469244288225,75.7469244288225,17.82905982905983,31.170731707317074,0.58,-7136.303787569359
410,61.0,0.77329,0,200,0,100,0.05420850000000001,75.7469244288225,75.7469244288225,16.555555555555557,28.94425087108014,0.61,-8280.885037947926
411,64.0,0.77359,0,200,0,100,0.05420850000000001,75.7469244288225,75.7469244288225,15.282051282051283,26.717770034843205,0.64,-9533.409624126672
412,67.0,0.77446,0,200,0,100,0.05420850000000001,75.7469244288225,75.7469244288225,14.008547008547009,24.49128919860627,0.67,-10893.754955722565
413,70.0,0.77496,0,200,0,100,0.05420850000000001,75.7469244288225,75.7469244288225,12.735042735042734,22.264808362369337,0.7,-12358.567091520485
414,73.0,0.77477,0,200,0,100,0.05420850000000001,75.7469244288225,75.7469244288225,11.461538461538462,20.038327526132406,0.73,-13919.135765107609
415,76.0,0.77624,0,200,0,100,0.05420850000000001,75.7469244288225,75.7469244288225,10.188034188034187,17.81184668989547,0.76,-15557.541128776407
416,79.0,0.77624,0,200,0,100,0.05420850000000001,75.7469244288225,75.7469244288225,8.914529914529915,15.585365853658537,0.79,-17239.360049766365
417,82.0,0.77674,0,200,0,100,0.05420850000000001,75.7469244288225,75.7469244288225,7.641025641025641,13.358885017421603,0.82,-18899.19397082246
418,85.0,0.77674,0,200,0,100,0.05420850000000001,75.7469244288225,75.7469244288225,6.367521367521367,11.132404181184668,0.85,-20410.478128114173
419,88.0,0.77685,0,200,0,100,0.05420850000000001,75.7469244288225,75.7469244288225,5.094017094017094,8.905923344947736,0.88,-21519.30339062583
420,91.0,0.77772,0,200,0,100,0.05420850000000001,75.7469244288225,75.7469244288225,3.8205128205128207,6.679442508710801,0.91,-21693.496994055295
421,94.0,0.77841,0,200,0,100,0.05420850000000001,75.7469244288225,75.7469244288225,2.547008547008547,4.452961672473868,0.94,-19779.073908259823
422,97.0,0.77822,0,200,0,100,0.05420850000000001,75.7469244288225,75.7469244288225,1.2735042735042734,2.226480836236934,0.97,-13398.355469663291
423,100.0,0.77969,0,200,0,100,0.05420850000000001,75.7469244288225,75.7469244288225,0.0,0.0,1.0,-0.0
424,103.0,0.78008,0,200,0,100,0.05420850000000001,75.7469244288225,75.7469244288225,-2.226480836236934,-2.226480836236934,1.03,19758.523774132376
425,106.0,0.78019,0,200,0,100,0.05420850000000001,75.7469244288225,75.7469244288225,-4.452961672473868,-4.452961672473868,1.06,32941.30992357903
426,109.0,0.78008,0,200,0,100,0.05420850000000001,75.7469244288225,75.7469244288225,-6.679442508710801,-6.679442508710801,1.09,41306.733292577104
427,112.0,0.78038,0,200,0,100,0.05420850000000001,75.7469244288225,75.7469244288225,-8.905923344947736,-8.905923344947736,1.12,47647.76119372499
428,115.0,0.78068,0,200,0,100,0.05420850000000001,75.7469244288225,75.7469244288225,-11.132404181184668,-11.132404181184668,1.15,53212.99802093355
429,118.0,0.7806,0,200,0,100,0.05420850000000001,75.7469244288225,75.7469244288225,-13.358885017421603,-13.358885017421603,1.18,58518.440564974386
430,121.0,0.78156,0,200,0,100,0.05420850000000001,75.7469244288225,75.7469244288225,-15.585365853658537,-15.585365853658537,1.21,63796.31491442678
431,124.0,0.78197,0,200,0,100,0.05420850000000001,75.7469244288225,75.7469244288225,-17.81184668989547,-17.81184668989547,1.24,69162.84235760108
432,127.0,0.78197,0,200,0,100,0.05420850000000001,75.7469244288225,75.7469244288225,-20.038327526132406,-20.038327526132406,1.27,74682.38120565751
433,130.0,0.78284,0,200,0,100,0.05420850000000001,75.7469244288225,75.7469244288225,-22.264808362369337,-22.264808362369337,1.3,80394.05433463976
434,133.0,0.78295,0,200,0,100,0.05420850000000001,75.7469244288225,75.7469244288225,-24.49128919860627,-24.49128919860627,1.33,86323.7766076812
435,136.0,0.78452,0,200,0,100,0.05420850000000001,75.7469244288225,75.7469244288225,-26.717770034843205,-26.717770034843205,1.36,92490.11104329077
