,r,señal,FFF,Area,In,Z
330,81.0,0.0045908,1,100,0,100
331,84.0,0.004449600000000001,1,100,0,100
332,87.0,0.0043165,1,100,0,100
333,90.0,0.004176300000000001,1,100,0,100
334,93.0,0.004076,1,100,0,100
335,95.0,0.0039889,1,100,0,100
336,145.0,0.014669,0,400,0,100
337,143.0,0.015447999999999998,0,400,0,100
338,140.0,0.016809,0,400,0,100
339,137.0,0.018289,0,400,0,100
340,134.0,0.019988,0,400,0,100
341,131.0,0.021862,0,400,0,100
342,128.0,0.024005000000000002,0,400,0,100
343,125.0,0.026407,0,400,0,100
344,122.0,0.029077,0,400,0,100
345,119.0,0.031820999999999995,0,400,0,100
346,116.0,0.034767,0,400,0,100
347,113.0,0.037868,0,400,0,100
348,110.0,0.044052,0,400,0,100
349,109.0,0.054358000000000004,0,400,0,100
350,108.0,0.08355900000000001,0,400,0,100
351,107.0,0.14831,0,400,0,100
352,106.0,0.24025,0,400,0,100
353,105.0,0.33414,0,400,0,100
354,104.0,0.43209,0,400,0,100
355,103.0,0.535,0,400,0,100
356,102.0,0.63561,0,400,0,100
357,101.0,0.73033,0,400,0,100
358,100.0,0.82124,0,400,0,100
359,99.0,0.87441,0,400,0,100
360,98.0,0.8921600000000001,0,400,0,100
361,97.0,0.8968799999999999,0,400,0,100
362,96.0,0.9006200000000001,0,400,0,100
363,95.0,0.90159,0,400,0,100
364,94.0,0.9022399999999999,0,400,0,100
365,93.0,0.90389,0,400,0,100
366,92.0,0.9044200000000001,0,400,0,100
367,91.0,0.90507,0,400,0,100
368,90.0,0.904,0,400,0,100
369,87.0,0.9065700000000001,0,400,0,100
370,84.0,0.90775,0,400,0,100
371,81.0,0.90781,0,400,0,100
372,78.0,0.90781,0,400,0,100
373,75.0,0.90866,0,400,0,100
374,72.0,0.9083399999999999,0,400,0,100
375,69.0,0.90743,0,400,0,100
376,66.0,0.9071100000000001,0,400,0,100
377,63.0,0.90636,0,400,0,100
378,60.0,0.9057700000000001,0,400,0,100
379,57.0,0.9057700000000001,0,400,0,100
380,54.0,0.90454,0,400,0,100
381,51.0,0.9042100000000001,0,400,0,100
382,48.0,0.9033,0,400,0,100
383,45.0,0.90009,0,400,0,100
384,42.0,0.89779,0,400,0,100
385,39.0,0.8959,0,400,0,100
386,36.0,0.89492,0,400,0,100
387,33.0,0.89446,0,400,0,100
388,30.0,0.89243,0,400,0,100
389,27.0,0.89413,0,400,0,100
390,24.0,0.89243,0,400,0,100
391,21.0,0.8909799999999999,0,400,0,100
392,18.0,0.89184,0,400,0,100
393,15.0,0.88974,0,400,0,100
394,12.0,0.88771,0,400,0,100
395,9.0,0.88705,0,400,0,100
396,6.0,0.88476,0,400,0,100
397,3.0,0.88561,0,400,0,100
398,0.0,0.8865299999999999,0,400,0,100
399,3.0,0.8866,0,400,0,100
400,6.0,0.8894799999999999,0,400,0,100
401,9.0,0.88954,0,400,0,100
402,12.0,0.89066,0,400,0,100
403,15.0,0.8921,0,400,0,100
404,18.0,0.8936700000000001,0,400,0,100
405,21.0,0.8939299999999999,0,400,0,100
406,24.0,0.89399,0,400,0,100
407,27.0,0.89426,0,400,0,100
408,30.0,0.89505,0,400,0,100
409,33.0,0.8957,0,400,0,100
410,36.0,0.89944,0,400,0,100
411,39.0,0.9023899999999999,0,400,0,100
412,42.0,0.90395,0,400,0,100
413,45.0,0.9059299999999999,0,400,0,100
414,48.0,0.9057200000000001,0,400,0,100
415,51.0,0.9065700000000001,0,400,0,100
416,54.0,0.9067799999999999,0,400,0,100
417,57.0,0.9071600000000001,0,400,0,100
418,60.0,0.90775,0,400,0,100
419,63.0,0.90722,0,400,0,100
420,66.0,0.9094700000000001,0,400,0,100
421,69.0,0.9081299999999999,0,400,0,100
422,72.0,0.90743,0,400,0,100
423,75.0,0.90807,0,400,0,100
424,78.0,0.9066799999999999,0,400,0,100
425,81.0,0.9065200000000001,0,400,0,100
426,84.0,0.9036799999999999,0,400,0,100
427,87.0,0.90138,0,400,0,100
428,90.0,0.8974700000000001,0,400,0,100
429,91.0,0.89013,0,400,0,100
430,92.0,0.86977,0,400,0,100
431,93.0,0.81604,0,400,0,100
432,94.0,0.72556,0,400,0,100
433,95.0,0.63071,0,400,0,100
434,96.0,0.5333100000000001,0,400,0,100
435,97.0,0.43346999999999997,0,400,0,100
436,98.0,0.32999,0,400,0,100
437,99.0,0.23592,0,400,0,100
438,100.0,0.14165999999999998,0,400,0,100
439,101.0,0.07525,0,400,0,100
440,102.0,0.049233,0,400,0,100
441,103.0,0.042251,0,400,0,100
442,104.0,0.039776,0,400,0,100
443,105.0,0.038468,0,400,0,100
444,106.0,0.037349,0,400,0,100
445,107.0,0.03631,0,400,0,100
446,108.0,0.035211,0,400,0,100
447,109.0,0.034276,0,400,0,100
448,110.0,0.033245,0,400,0,100
449,113.0,0.030338999999999998,0,400,0,100
450,116.0,0.027578,0,400,0,100
451,119.0,0.025118,0,400,0,100
452,122.0,0.022805000000000002,0,400,0,100
453,125.0,0.020749,0,400,0,100
454,128.0,0.019034,0,400,0,100
455,131.0,0.017447999999999998,0,400,0,100
456,134.0,0.015974000000000002,0,400,0,100
457,137.0,0.0148,0,400,0,100
458,140.0,0.013683,0,400,0,100
459,143.0,0.012802000000000001,0,400,0,100
460,145.0,0.012145999999999999,0,400,0,100
461,145.0,0.0058872,1,400,0,100
462,143.0,0.0060544,1,400,0,100
463,140.0,0.0063817,1,400,0,100
464,137.0,0.0067347,1,400,0,100
465,134.0,0.007084399999999999,1,400,0,100
466,131.0,0.0075758,1,400,0,100
467,128.0,0.008140699999999999,1,400,0,100
468,125.0,0.0089552,1,400,0,100
469,122.0,0.009893700000000002,1,400,0,100
470,119.0,0.010882,1,400,0,100
471,116.0,0.011996,1,400,0,100
472,113.0,0.013219,1,400,0,100
473,110.0,0.016714,1,400,0,100
474,109.0,0.023036,1,400,0,100
475,108.0,0.041839,1,400,0,100
476,107.0,0.086556,1,400,0,100
477,106.0,0.15479,1,400,0,100
478,105.0,0.22516999999999998,1,400,0,100
479,104.0,0.29984,1,400,0,100
480,103.0,0.37945999999999996,1,400,0,100
481,102.0,0.45682,1,400,0,100
482,101.0,0.52883,1,400,0,100
483,100.0,0.59914,1,400,0,100
484,99.0,0.64183,1,400,0,100
485,98.0,0.65875,1,400,0,100
486,97.0,0.66571,1,400,0,100
487,96.0,0.66898,1,400,0,100
488,95.0,0.6725399999999999,1,400,0,100
489,94.0,0.67596,1,400,0,100
490,93.0,0.67908,1,400,0,100
491,92.0,0.68156,1,400,0,100
492,91.0,0.68497,1,400,0,100
493,90.0,0.68761,1,400,0,100
494,87.0,0.6954600000000001,1,400,0,100
495,84.0,0.7038300000000001,1,400,0,100
496,81.0,0.7132,1,400,0,100
497,78.0,0.7205199999999999,1,400,0,100
498,75.0,0.72787,1,400,0,100
499,72.0,0.7365,1,400,0,100
500,69.0,0.74417,1,400,0,100
501,66.0,0.75184,1,400,0,100
502,63.0,0.7609899999999999,1,400,0,100
503,60.0,0.76835,1,400,0,100
504,57.0,0.7765,1,400,0,100
505,54.0,0.7843,1,400,0,100
506,51.0,0.7924,1,400,0,100
507,48.0,0.80057,1,400,0,100
508,45.0,0.8072,1,400,0,100
509,42.0,0.81528,1,400,0,100
510,39.0,0.82276,1,400,0,100
511,36.0,0.82863,1,400,0,100
512,33.0,0.8349,1,400,0,100
513,30.0,0.84045,1,400,0,100
514,27.0,0.8476799999999999,1,400,0,100
515,24.0,0.8535299999999999,1,400,0,100
516,21.0,0.8552700000000001,1,400,0,100
517,18.0,0.8605299999999999,1,400,0,100
518,15.0,0.8631700000000001,1,400,0,100
519,12.0,0.86731,1,400,0,100
520,9.0,0.8680899999999999,1,400,0,100
521,6.0,0.86935,1,400,0,100
522,3.0,0.87026,1,400,0,100
523,0.0,0.8701,1,400,0,100
524,3.0,0.8674299999999999,1,400,0,100
